topic,question,A,B,C,D,correct
Cybersecurity,Which protocol is used for secure web communication?,HTTP,FTP,HTTPS,SMTP,C
Cybersecurity,What does a firewall primarily protect against?,Viruses,Unauthorized access,Data compression,Encryption,B
Cybersecurity,Which type of malware demands payment to unlock files?,Spyware,Ransomware,Worm,Trojan,B
Cybersecurity,What is the process of converting data into a code to prevent unauthorized access?,Encoding,Decoding,Encryption,Hashing,C
Cybersecurity,What does VPN stand for?,Virtual Private Network,Verified Public Node,Virtual Personal Network,Variable Process Node,A
Cybersecurity,Which of the following is an example of two-factor authentication?,Password only,Password and OTP,Username and password,Fingerprint only,B
Cybersecurity,What is phishing primarily used for?,Spamming,Data theft,Encryption,Advertising,B
Cybersecurity,Which organization is responsible for cybersecurity awareness?,WHO,CERT,UNESCO,NASA,B
Cybersecurity,What is the strongest password?,123456,Password1,MyDog,RandomCharacters123!,D
Cybersecurity,What does SSL stand for?,Secure Socket Layer,Simple Security Lock,Server Secure Link,Socket Secure Login,A
Digital Electronics,What does IC stand for?,Internal Circuit,Integrated Circuit,Inverted Current,Input Control,B
Digital Electronics,Which logic gate outputs true only when both inputs are true?,OR,AND,NOR,XOR,B
Digital Electronics,What is the binary equivalent of decimal 5?,101,100,110,111,A
Digital Electronics,Which component stores charge?,Resistor,Capacitor,Inductor,Transistor,B
Digital Electronics,What is the base of the hexadecimal system?,10,12,16,8,C
Digital Electronics,What device converts analog signals to digital?,ADC,DAC,OP-AMP,Transistor,A
Digital Electronics,Which gate is known as the universal gate?,AND,NAND,OR,XOR,B
Digital Electronics,Which flip-flop stores one bit of data?,D Flip-Flop,T Flip-Flop,JK Flip-Flop,RS Flip-Flop,A
Linux Administration,Which command lists files in a directory?,ls,cat,cp,mv,A
Linux Administration,Which command is used to change directories?,cd,ls,rm,cp,A
Linux Administration,Which command deletes files?,del,remove,rm,erase,C
Linux Administration,What symbol represents the home directory?,~,%,#,*,A
Linux Administration,Which user has all system privileges?,root,sudo,admin,super,B
Linux Administration,Which command shows current working directory?,where,locate,pwd,dir,C
Linux Administration,Which command displays running processes?,run,show,ps,list,C
