topic,question,answer
Programming,What is the process of finding and fixing errors in code?,Debugging
Programming,What keyword is used to define a function in Python?,Def
Programming,Which term describes combining data and methods in one unit?,Encapsulation
Programming,What is the name of the first index in most programming languages?,Zero
Programming,Which paradigm uses objects and classes?,Object-oriented
Programming,What symbol is used for comments in Python?,Hash
Programming,Which keyword in Java is used to inherit a class?,Extends
Programming,What keyword creates an instance of a class in Java?,New
Programming,What do we call a variable declared inside a function?,Local
Programming,What is the process of repeating a set of instructions?,Iteration
Programming,Which operator is used for equality comparison in C?,DoubleEquals
Networking,What device connects multiple computers in a LAN?,Switch
Networking,What is the most common protocol for web traffic?,HTTP
Networking,What network topology connects all nodes to a central hub?,Star
Networking,What is the unique address assigned to a device on a network?,IP
Networking,Which device routes packets between networks?,Router
Networking,What term describes the rate of data transfer?,Bandwidth
Networking,What is the wireless standard known as 802.11?,WiFi
Networking,What protocol is used to send emails?,SMTP
Networking,What is the main protocol used to retrieve web pages?,HTTP
Networking,What is the default port number for HTTPS?,443
Cybersecurity,What is the practice of converting data into unreadable form?,Encryption
Cybersecurity,What is malicious software called?,Malware
Cybersecurity,What is a program that replicates itself called?,Virus
Cybersecurity,What is the process of verifying identity?,Authentication
Cybersecurity,What attack floods a server with excessive traffic?,DDoS
Cybersecurity,What is the science of securing information?,Cryptography
Cybersecurity,What is the unauthorized access to systems called?,Hacking
Cybersecurity,What is the strongest type of password protection method?,Biometric
Cybersecurity,What is the process of restoring data from backup called?,Recovery
Cybersecurity,What is used to detect and prevent network intrusions?,Firewall
Databases,What language is used to query databases?,SQL
Databases,What is a single row in a table called?,Record
Databases,What is a single column in a table called?,Field
Databases,What is the unique identifier for a record called?,PrimaryKey
Databases,What type of database stores data in tables?,Relational
Databases,What is the command to add new data in SQL?,Insert
Databases,What is the command to remove data in SQL?,Delete
Databases,What is the command to update data in SQL?,Update
Databases,What is the command to retrieve data in SQL?,Select
Databases,What is the software used to manage databases?,DBMS
AI,What is the branch of computer science that simulates human intelligence?,AI
AI,What is the learning approach where the model learns from labeled data?,Supervised
AI,What type of learning uses rewards and punishments?,Reinforcement
AI,What is the process of training a neural network called?,Learning
AI,What is the structure inspired by the human brain?,Neuron
AI,What type of AI can perform specific tasks only?,Narrow
AI,What is the output layer of a neural network called?,Output
AI,What algorithm mimics biological evolution?,Genetic
AI,What is the measure of prediction accuracy in AI?,Precision
AI,What is the process of breaking a problem into smaller parts?,Decomposition
