topic,question,answer
Programming,What is the process of finding and fixing errors in code?,Debugging
Programming,What keyword is used to define a function in Python?,Def
Programming,Which term describes combining data and methods in one unit?,Encapsulation
Programming,What is the name of the first index in most programming languages?,Zero
Programming,Which paradigm uses objects and classes?,Object-oriented
Programming,What symbol is used for comments in Python?,Hash
Programming,Which keyword in Java is used to inherit a class?,Extends
Programming,What keyword creates an instance of a class in Java?,New
Programming,What do we call a variable declared inside a function?,Local
Programming,What is the process of repeating a set of instructions?,Iteration
Programming,Which operator is used for equality comparison in C?,DoubleEquals
Networking,What device connects multiple computers in a LAN?,Switch
Networking,What is the most common protocol for web traffic?,HTTP
Networking,What network topology connects all nodes to a central hub?,Star
Networking,What is the unique address assigned to a device on a network?,IP
Networking,Which device routes packets between networks?,Router
Networking,What term describes the rate of data transfer?,Bandwidth
Networking,What is the wireless standard known as 802.11?,WiFi
Networking,What protocol is used to send emails?,SMTP
Networking,What is the main protocol used to retrieve web pages?,HTTP
Networking,What is the default port number for HTTPS?,443
Cybersecurity,What is the practice of converting data into unreadable form?,Encryption
Cybersecurity,What is malicious software called?,Malware
Cybersecurity,What is a program that replicates itself called?,Virus
Cybersecurity,What is the process of verifying identity?,Authentication
Cybersecurity,What attack floods a server with excessive traffic?,DDoS
Cybersecurity,What is the science of securing information?,Cryptography
Cybersecurity,What is the unauthorized access to systems called?,Hacking
Cybersecurity,What is the strongest type of password protection method?,Biometric
Cybersecurity,What is the process of restoring data from backup called?,Recovery
Cybersecurity,What is used to detect and prevent network intrusions?,Firewall
Databases,What language is used to query databases?,SQL
Databases,What is a single row in a table called?,Record
Databases,What is a single column in a table called?,Field
Databases,What is the unique identifier for a record called?,PrimaryKey
Databases,What type of database stores data in tables?,Relational
Databases,What is the command to add new data in SQL?,Insert
Databases,What is the command to remove data in SQL?,Delete
Databases,What is the command to update data in SQL?,Update
Databases,What is the command to retrieve data in SQL?,Select
Databases,What is the software used to manage databases?,DBMS
AI,What is the branch of computer science that simulates human intelligence?,AI
AI,What is the learning approach where the model learns from labeled data?,Supervised
AI,What type of learning uses rewards and punishments?,Reinforcement
AI,What is the process of training a neural network called?,Learning
AI,What is the structure inspired by the human brain?,Neuron
AI,What type of AI can perform specific tasks only?,Narrow
AI,What is the output layer of a neural network called?,Output
AI,What algorithm mimics biological evolution?,Genetic
AI,What is the measure of prediction accuracy in AI?,Precision
AI,What is the process of breaking a problem into smaller parts?,Decomposition
Cybersecurity,What is the practice of protecting systems and networks from digital attacks?,Cybersecurity
Cybersecurity,What type of malicious software encrypts files and demands payment?,Ransomware
Cybersecurity,What is the process of converting data into a coded format?,Encryption
Cybersecurity,What attack floods a network with traffic to make it unavailable?,DDoS Attack
Cybersecurity,What is a secret word or phrase used to authenticate a user?,Password
Cybersecurity,What is software designed to detect and remove malicious programs?,Antivirus
Cybersecurity,What attack tricks users into revealing sensitive information via fake emails?,Phishing
Cybersecurity,What is a network security system that monitors and controls traffic?,Firewall
Cybersecurity,What is unauthorized access to a computer system called?,Hacking
Cybersecurity,What is a weakness in a system that can be exploited?,Vulnerability
Cybersecurity,What authentication method requires two different forms of verification?,Two-Factor Authentication
Cybersecurity,What is malicious software that disguises itself as legitimate?,Trojan Horse
Cybersecurity,What attack involves testing all possible password combinations?,Brute Force Attack
Cybersecurity,What is the practice of creating fake scenarios to manipulate people?,Social Engineering
Cybersecurity,What protocol provides secure communication over networks?,SSL/TLS
Cybersecurity,What is software that secretly monitors user activity?,Spyware
Cybersecurity,What is a simulated cyber attack to test security?,Penetration Testing
Cybersecurity,What is the process of verifying user identity?,Authentication
Cybersecurity,What type of attack injects malicious code into databases?,SQL Injection
Cybersecurity,What is a copy of data stored separately for recovery?,Backup
Cybersecurity,What is an isolated environment for testing suspicious files?,Sandbox
Cybersecurity,What security measure restricts user permissions?,Access Control
Cybersecurity,What is a record of system events and activities?,Audit Log
Cybersecurity,What attack intercepts communication between two parties?,Man-in-the-Middle Attack
Cybersecurity,What is a security flaw unknown to the software vendor?,Zero-Day Vulnerability
Cybersecurity,What network allows secure remote access?,VPN
Cybersecurity,What is unwanted email sent in bulk?,Spam
Cybersecurity,What is the process of scrambling data to prevent unauthorized access?,Hashing
Cybersecurity,What is a string of characters used to encrypt data?,Encryption Key
Cybersecurity,What attack exploits vulnerabilities in web applications?,Cross-Site Scripting
Cybersecurity,What is a security policy that denies all traffic by default?,Whitelist
Cybersecurity,What is the practice of hiding data within other files?,Steganography
Cybersecurity,What is a malicious program that replicates itself?,Virus
Cybersecurity,What framework helps organizations manage security risks?,ISO 27001
Cybersecurity,What is the process of removing sensitive data permanently?,Data Sanitization
Cybersecurity,What attack targets specific individuals or organizations?,Spear Phishing
Cybersecurity,What is a deceptive system designed to lure attackers?,Honeypot
Cybersecurity,What is the principle of granting minimal access rights?,Least Privilege
Cybersecurity,What is a security incident that compromises data?,Data Breach
Cybersecurity,What tool scans networks for security vulnerabilities?,Vulnerability Scanner
Cybersecurity,What is the practice of verifying software authenticity?,Digital Signature
Cybersecurity,What attack overwhelms a single target with traffic?,DoS Attack
Cybersecurity,What is a set of compromised computers controlled remotely?,Botnet
Cybersecurity,What is the process of analyzing security incidents?,Forensics
Cybersecurity,What protocol secures remote command-line access?,SSH
Cybersecurity,What is a policy document outlining security practices?,Security Policy
Cybersecurity,What is malicious code that spreads without user action?,Worm
Cybersecurity,What is the practice of testing security through authorized hacking?,Ethical Hacking
Cybersecurity,What is a unique identifier for verifying digital identity?,Digital Certificate
Cybersecurity,What is the time between vulnerability discovery and patch?,Patch Window
Digital Electronics,What is the number system using only 0 and 1?,Binary
Digital Electronics,What logic gate outputs 1 only when all inputs are 1?,AND Gate
Digital Electronics,What logic gate outputs 1 when at least one input is 1?,OR Gate
Digital Electronics,What logic gate inverts the input signal?,NOT Gate
Digital Electronics,What is the smallest unit of digital information?,Bit
Digital Electronics,What is a group of 8 bits called?,Byte
Digital Electronics,What device stores one bit of information?,Flip-Flop
Digital Electronics,What logic gate outputs 1 when inputs are different?,XOR Gate
Digital Electronics,What is a combination of logic gates called?,Logic Circuit
Digital Electronics,What converts analog signals to digital?,ADC (Analog-to-Digital Converter)
Digital Electronics,What is a circuit whose output depends only on current inputs?,Combinational Circuit
Digital Electronics,What is a circuit that uses memory elements?,Sequential Circuit
Digital Electronics,What device selects one of many input signals?,Multiplexer
Digital Electronics,What device distributes one input to multiple outputs?,Demultiplexer
Digital Electronics,What is the complement of an AND gate?,NAND Gate
Digital Electronics,What is the complement of an OR gate?,NOR Gate
Digital Electronics,What circuit performs arithmetic operations?,Adder
Digital Electronics,What device compares two binary numbers?,Comparator
Digital Electronics,What is a truth table used for?,Showing logic gate outputs for all input combinations
Digital Electronics,What theorem simplifies Boolean expressions?,Boolean Algebra
Digital Electronics,What is the base of the hexadecimal number system?,16
Digital Electronics,What device counts pulses or events?,Counter
Digital Electronics,What stores multiple bits of data temporarily?,Register
Digital Electronics,What is a circuit that generates clock signals?,Oscillator
Digital Electronics,What component switches or amplifies electronic signals?,Transistor
Digital Electronics,What is the time delay in signal propagation?,Propagation Delay
Digital Electronics,What device encodes inputs into binary?,Encoder
Digital Electronics,What device decodes binary into outputs?,Decoder
Digital Electronics,What is the rise and fall time of a signal?,Edge Transition
Digital Electronics,What circuit configuration has two stable states?,Bistable
Digital Electronics,What is unwanted variation in signal levels?,Noise
Digital Electronics,What is the frequency of state changes?,Clock Speed
Digital Electronics,What law states that any Boolean function can be implemented with NAND gates?,NAND Gate Universality
Digital Electronics,What is the process of converting decimal to binary?,Binary Conversion
Digital Electronics,What device temporarily holds data?,Latch
Digital Electronics,What is a half adder upgraded with carry input?,Full Adder
Digital Electronics,What map simplifies Boolean expressions visually?,Karnaugh Map
Digital Electronics,What is the voltage representing logic 1?,High Level
Digital Electronics,What is the voltage representing logic 0?,Low Level
Digital Electronics,What circuit subtracts binary numbers?,Subtractor
Digital Electronics,What is the fan-out of a logic gate?,Maximum number of inputs it can drive
Digital Electronics,What stores large amounts of digital data?,Memory
Digital Electronics,What type of memory loses data when power is off?,Volatile Memory
Digital Electronics,What type of memory retains data without power?,Non-Volatile Memory
Digital Electronics,What is the basic building block of digital circuits?,Logic Gate
Digital Electronics,What is a bistable device triggered by clock pulses?,Flip-Flop
Digital Electronics,What circuit generates a sequence of states?,State Machine
Digital Electronics,What is synchronous operation in digital circuits?,Operations controlled by clock signals
Digital Electronics,What is the metastable state in flip-flops?,Unstable intermediate state
Linux Administration,What command displays the current directory?,pwd
Linux Administration,What command lists files in a directory?,ls
Linux Administration,What command changes directories?,cd
Linux Administration,What command creates a new directory?,mkdir
Linux Administration,What command removes files?,rm
Linux Administration,What command copies files?,cp
Linux Administration,What command moves or renames files?,mv
Linux Administration,What command displays file contents?,cat
Linux Administration,What command shows running processes?,ps
Linux Administration,What command terminates a process?,kill
Linux Administration,What is the root user's home directory?,/root
Linux Administration,What command changes file permissions?,chmod
Linux Administration,What command changes file ownership?,chown
