"problem_id","language","problem_statement","unit_tests","expected_output"
"1","Python","Write a Python code that takes a list of numbers and returns their sum","def test_sum_function():
    assert sum_numbers([1, 2, 3, 4]) == 10
    assert sum_numbers([]) == 0
    assert sum_numbers([-1, 1]) == 0
    assert sum_numbers([5]) == 5
    assert sum_numbers([1, 2, 3, 4, 5]) == 15","10"
"2","Python","Write a Python function that returns the maximum number from a list","def test_max_function():
    assert find_max([1, 5, 3, 9, 2]) == 9
    assert find_max([10]) == 10
    assert find_max([-5, -1, -10]) == -1
    assert find_max([0, 0, 0]) == 0","9"
"3","Python","Write a Python function that counts the number of vowels in a string","def test_count_vowels():
    assert count_vowels('hello') == 2
    assert count_vowels('aeiou') == 5
    assert count_vowels('xyz') == 0
    assert count_vowels('') == 0","2"
"4","Python","Write a Python function that reverses a string","def test_reverse_string():
    assert reverse_string('hello') == 'olleh'
    assert reverse_string('Python') == 'nohtyP'
    assert reverse_string('a') == 'a'
    assert reverse_string('') == ''","olleh"
"5","Python","Write a Python function that checks if a number is even","def test_is_even():
    assert is_even(4) == True
    assert is_even(7) == False
    assert is_even(0) == True
    assert is_even(-2) == True","True"
"6","Python","Write a Python function that returns the length of a list","def test_list_length():
    assert get_length([1, 2, 3]) == 3
    assert get_length([]) == 0
    assert get_length(['a', 'b']) == 2
    assert get_length([1]) == 1","3"
"7","Python","Write a Python function that multiplies all numbers in a list","def test_multiply_list():
    assert multiply_all([2, 3, 4]) == 24
    assert multiply_all([1, 1, 1]) == 1
    assert multiply_all([5]) == 5
    assert multiply_all([2, 0, 5]) == 0","24"
"8","Python","Write a Python function that finds the minimum number in a list","def test_find_min():
    assert find_min([3, 1, 4, 1, 5]) == 1
    assert find_min([10]) == 10
    assert find_min([-5, -1, -10]) == -10
    assert find_min([0, 0, 0]) == 0","1"
"9","Python","Write a Python function that checks if a string is a palindrome","def test_is_palindrome():
    assert is_palindrome('racecar') == True
    assert is_palindrome('hello') == False
    assert is_palindrome('a') == True
    assert is_palindrome('') == True","True"
"10","Python","Write a Python function that removes duplicates from a list","def test_remove_duplicates():
    assert remove_duplicates([1, 2, 2, 3, 4, 4]) == [1, 2, 3, 4]
    assert remove_duplicates([1, 1, 1]) == [1]
    assert remove_duplicates([]) == []
    assert remove_duplicates([1, 2, 3]) == [1, 2, 3]","[1, 2, 3, 4]"
"11","Python","Write a Python function that converts a string to uppercase","def test_to_uppercase():
    assert to_uppercase('hello') == 'HELLO'
    assert to_uppercase('Python') == 'PYTHON'
    assert to_uppercase('') == ''
    assert to_uppercase('123') == '123'","HELLO"
"12","Python","Write a Python function that counts occurrences of an element in a list","def test_count_element():
    assert count_element([1, 2, 3, 2, 2], 2) == 3
    assert count_element([1, 1, 1], 1) == 3
    assert count_element([1, 2, 3], 4) == 0
    assert count_element([], 1) == 0","3"
"13","Python","Write a Python function that returns the first n elements of a list","def test_first_n():
    assert first_n([1, 2, 3, 4, 5], 3) == [1, 2, 3]
    assert first_n([1, 2], 5) == [1, 2]
    assert first_n([1, 2, 3], 0) == []
    assert first_n([], 3) == []","[1, 2, 3]"
"14","Python","Write a Python function that checks if a list is empty","def test_is_empty():
    assert is_empty([]) == True
    assert is_empty([1]) == False
    assert is_empty([1, 2, 3]) == False
    assert is_empty(['']) == False","True"
"15","Python","Write a Python function that returns the average of numbers in a list","def test_average():
    assert average([1, 2, 3, 4]) == 2.5
    assert average([10]) == 10
    assert average([5, 5, 5]) == 5
    assert average([0, 10]) == 5","2.5"
"16","Python","Write a Python function that concatenates two strings","def test_concat_strings():
    assert concat('hello', 'world') == 'helloworld'
    assert concat('', 'test') == 'test'
    assert concat('a', 'b') == 'ab'
    assert concat('', '') == ''","helloworld"
"17","Python","Write a Python function that checks if a number is positive","def test_is_positive():
    assert is_positive(5) == True
    assert is_positive(-3) == False
    assert is_positive(0) == False
    assert is_positive(100) == True","True"
"18","Python","Write a Python function that squares a number","def test_square():
    assert square(4) == 16
    assert square(0) == 0
    assert square(-3) == 9
    assert square(10) == 100","16"
"19","Python","Write a Python function that returns the last element of a list","def test_last_element():
    assert last_element([1, 2, 3]) == 3
    assert last_element(['a', 'b']) == 'b'
    assert last_element([5]) == 5
    assert last_element([1, 2, 3, 4, 5]) == 5","3"
"20","Python","Write a Python function that checks if a string contains a substring","def test_contains_substring():
    assert contains('hello world', 'world') == True
    assert contains('Python', 'Java') == False
    assert contains('test', 'test') == True
    assert contains('abc', '') == True","True"
"21","Python","Write a Python function that converts Celsius to Fahrenheit","def test_celsius_to_fahrenheit():
    assert celsius_to_fahrenheit(0) == 32
    assert celsius_to_fahrenheit(100) == 212
    assert celsius_to_fahrenheit(-40) == -40
    assert celsius_to_fahrenheit(37) == 98.6","32"
"22","Python","Write a Python function that returns absolute value of a number","def test_absolute():
    assert absolute(-5) == 5
    assert absolute(5) == 5
    assert absolute(0) == 0
    assert absolute(-100) == 100","5"
