topic,question,A,B,C,D,correct
Cybersecurity,Which are examples of malware?,Trojan,Worm,Firewall,Spyware,"A,B,D"
Cybersecurity,Which are strong password practices?,Include numbers,Use dictionary words,Use symbols,Short length,"A,C"
Cybersecurity,Which protocols provide secure communication?,HTTPS,FTP,SSH,Telnet,"A,C"
Cybersecurity,Which are multi-factor authentication methods?,Password,OTP,Fingerprint,Username,"B,C"
Cybersecurity,Which are common cyber attacks?,Phishing,SQL Injection,DDoS,Encryption,"A,B,C"
Cybersecurity,Which tools are used for penetration testing?,Wireshark,Nmap,Burp Suite,Excel,"A,B,C"
Cybersecurity,Which methods can protect data?,Encryption,Backup,Deleting files,Firewall,"A,B,D"
Cybersecurity,Which are examples of social engineering?,Phishing,Vishing,Brute Force,Shoulder Surfing,"A,B,D"
Digital Electronics,Which are logic gates?,AND,OR,IF,NOT,"A,B,D"
Digital Electronics,Which are binary numbers?,1010,1111,ABCD,1001,"A,B,D"
Digital Electronics,Which components store energy?,Resistor,Inductor,Capacitor,Diode,"B,C"
Digital Electronics,Which are universal gates?,NAND,NOR,AND,OR,"A,B"
Digital Electronics,Which are combinational circuits?,Adder,Multiplexer,Flip-Flop,Decoder,"A,B,D"
Linux Administration,Which commands are used to view files?,cat,less,rm,head,"A,B,D"
Linux Administration,Which are package managers?,apt,yum,pkg,netstat,"A,B,C"
Linux Administration,Which are text editors in Linux?,vim,nano,notepad,emacs,"A,B,D"
Linux Administration,Which are valid Linux directories?,/home,/usr,/windows,/etc,"A,B,D"
Networking,Which are network devices?,Router,Switch,Repeater,Compiler,"A,B,C"
Networking,Which are types of IP addresses?,Private,Public,Loopback,Dynamic,"A,B,C,D"
Networking,Which layers are in the OSI model?,Network,Transport,Session,Process,"A,B,C"
Networking,Which are routing protocols?,OSPF,BGP,RIP,FTP,"A,B,C"
Networking,Which are wireless standards?,802.11a,802.11b,802.3,802.11g,"A,B,D"
Networking,Which are examples of cables?,Coaxial,Fiber optic,HDMI,Twisted pair,"A,B,D"
Robotics,Which are robot sensors?,Ultrasonic,Infrared,Servo,Temperature,"A,B,D"
Robotics,Which are robot actuators?,Servo,Motor,Sensor,Valve,"A,B,D"
Robotics,Which are programming languages used in robotics?,Python,C++,HTML,Java,"A,B,D"
Robotics,Which are robot components?,Controller,Actuator,Display,Sensor,"A,B,D"
Android Apps Development (IoT),Which are IoT communication protocols?,MQTT,HTTP,Bluetooth,Zigbee,"A,B,D"
Android Apps Development (IoT),Which are IoT devices?,Raspberry Pi,Arduino,Mouse,ESP8266,"A,B,D"
Android Apps Development (Productivity),Which languages are used for Android development?,Java,Kotlin,Python,Swift,"A,B"
Android Apps Development (Game Development),Which game engines can export to Android?,Unity,Godot,Unreal,Notepad,"A,B,C"
Database Programming,Which are SQL statements?,SELECT,INSERT,DELETE,SEARCH,"A,B,C"
Database Programming,Which are aggregate functions?,SUM,AVG,COUNT,LEN,"A,B,C"
Database Programming,Which are NoSQL databases?,MongoDB,MySQL,Redis,Cassandra,"A,C,D"
Database Programming,Which are types of database keys?,Primary,Foreign,Composite,Symbol,"A,B,C"
Java Programming,Which are Java data types?,int,String,float,number,"A,B,C"
Java Programming,Which are OOP principles?,Encapsulation,Inheritance,Polymorphism,Iteration,"A,B,C"
Java Programming,Which are access modifiers in Java?,public,private,protected,secure,"A,B,C"
Java Programming,Which are valid loops in Java?,for,while,until,do-while,"A,B,D"
.NET Programming using C#,Which are C# data types?,int,float,boolean,word,"A,B,C"
.NET Programming using C#,Which are control structures?,if,switch,for,case,"A,B,C"
